     Kuwaiti Dinar                   ,KWD,3.29
     Bahraini Dinar                  ,BHD,1
     Omani Rial                      ,OMR,0.38
     Jordanian Dinar                 ,JOD,1.41
     Gibraltar Pound                 ,GIP,1.32
     Pound Sterling                  ,GBP,1.3
     Cayman Islands Dollar           ,KYD,1.2
     Euro                            ,EUR,1.13
     Swiss Franc                     ,CHF,0.99
     Burnei Dollar                   ,BND,0.75
     Canadian Dollar                 ,CAD,0.75
     Australian Dollar               ,AUD,0.72
     Libyan Dollar                   ,LYD,0.72
     Singapore Dollar                ,SGD,0.74
     New Zeeland Dollar              ,NZD,0.68
     Faijian Dollar                  ,FJD,0.47
     Brazzillian Real Currency       ,BRL,0.27
     Israeel New Shakel              ,ILS,0.27
     Turkish Lira                    ,TRY,0.18
     United Stats Dollar             ,USD,1
     Pakistani Rupees                ,PKR,0.00625
